Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
12/09/2019,18465,11622,438,24108,5712,0
01/06/2021,16356,9283,324,17202,5675,64
27/10/2023,16154,10881,235,18718,4686,85
14/06/2020,1386,2106,0,3074,0,3
25/11/2020,13693,8078,283,14925,4722,74
25/08/2021,2035,720,23,1846,0,12
28/04/2023,16250,10883,287,19003,5330,110
02/07/2023,2388,4198,0,6399,0,58
03/12/2023,3259,4708,0,7330,0,25
13/02/2022,2005,2887,0,4341,0,31
06/11/2021,2250,3419,0,4524,0,35
10/09/2023,2654,4737,0,6379,0,68
14/05/2021,16262,9740,226,17216,5391,82
11/05/2023,16353,10707,334,19483,4807,102
02/12/2023,4724,6050,0,9640,0,28
06/09/2021,2147,864,27,2153,0,25
24/12/2020,6332,4990,35,7565,0,41
09/07/2023,2186,4229,0,5843,0,24
12/12/2021,2015,3304,0,4498,0,26
01/02/2023,16147,10628,334,18877,5774,59
27/11/2023,17585,10129,388,20054,6233,78
31/08/2022,14360,8657,233,16306,4217,62
28/06/2020,1614,2777,0,3759,0,1
05/05/2022,14014,8862,254,16040,4773,72
01/07/2020,9067,5832,140,10841,3578,3
04/04/2022,13714,7935,266,14466,4936,48
08/09/2019,3782,4743,0,5886,0,0
11/03/2020,20182,12363,491,27319,6426,45
10/10/2022,14114,9377,254,16357,3943,134
04/01/2020,2177,5018,0,4315,0,0
10/08/2020,11596,5647,170,11223,5176,58
03/11/2019,2642,3748,0,5713,0,0
23/03/2022,14095,8541,232,15849,4697,54
06/08/2021,15595,9565,244,16451,5047,64
05/04/2021,2153,3185,0,4369,0,17
24/04/2021,3190,4487,0,6112,0,16
29/11/2019,17761,12660,317,24355,4542,0
14/03/2021,1760,1703,0,4112,0,12
13/06/2023,14893,10108,390,17550,4643,66
22/03/2020,1893,2252,0,3890,0,0
02/09/2020,12087,6195,174,12014,5165,55
21/03/2020,2670,3272,0,5531,0,0
17/11/2019,2914,4519,0,6777,0,0
12/11/2023,2788,4381,0,6498,0,24
13/05/2021,16541,9724,311,18003,5426,108
06/10/2019,2992,5583,0,7530,0,0
21/11/2023,15993,10937,357,18900,4914,92
11/04/2022,9488,7256,253,12413,0,40
14/10/2022,14044,9443,185,16075,4122,109
07/01/2022,5292,4167,51,6005,0,38
21/01/2021,10496,5460,236,13303,0,45
07/03/2022,13340,7215,191,13970,5386,47
03/12/2019,17741,11575,486,23387,5010,1
06/12/2023,17482,10888,373,20063,3857,65
18/12/2021,2820,4036,0,5516,0,17
07/04/2020,2951,1519,47,3497,33,1
26/10/2021,7511,3291,77,6912,2041,61
18/07/2023,15884,10685,367,18317,4883,95
26/08/2022,13561,9302,177,15288,4191,53
30/06/2020,8961,5466,151,11014,3555,7
19/01/2022,6419,4160,81,7608,0,39
20/11/2021,2440,3756,0,4993,0,26
14/12/2022,12828,9451,277,15889,679,70
23/08/2019,18614,12644,384,25079,5224,0
11/07/2023,11689,9680,309,16250,0,49
27/08/2022,3181,5651,0,7180,0,8
06/12/2022,14281,9948,269,16941,2811,42
29/12/2021,4248,2987,12,4744,0,31
27/04/2020,947,892,0,1569,0,0
25/11/2021,10397,6065,134,11144,4115,38
03/11/2021,10321,5114,122,9626,4910,51
03/08/2019,5447,7090,0,7922,0,0
26/03/2020,4003,2449,133,5846,108,0
11/03/2021,16764,9151,280,17836,5839,99
21/09/2022,14071,9746,221,15947,4199,50
26/05/2021,16451,9619,347,17927,5171,65
28/10/2019,17730,11484,436,24233,5704,0
23/09/2021,2369,989,24,2407,0,23
10/03/2023,16384,11381,238,20144,4708,72
24/06/2022,12099,7798,177,13846,2940,57
14/02/2022,12202,6435,143,11899,5591,59
12/05/2023,15799,11026,256,18641,4859,83
28/10/2021,7872,3510,78,7119,2116,63
27/08/2023,2718,4322,0,6499,0,51
26/12/2020,1910,3759,0,4918,0,21
18/09/2020,12513,6712,161,12778,4808,46
02/10/2022,2252,4891,0,6560,0,15
19/02/2021,15799,9347,215,16832,5684,43
29/03/2020,706,889,0,1468,0,2
20/12/2023,11901,7946,272,14883,0,1366
04/08/2020,11694,5756,167,11698,5384,42
27/09/2020,1810,2725,0,4055,0,27
20/07/2020,10779,5642,160,10635,4314,65
17/12/2022,3708,5759,0,7436,0,33
03/10/2019,15089,12660,426,24221,0,1
18/04/2023,12530,10259,378,18402,0,71
11/07/2021,1966,3213,0,4514,0,11
15/07/2019,12743,9704,370,19481,0,2
10/03/2020,20171,12442,493,27226,6571,35
27/09/2021,2431,1046,20,2326,0,27
20/09/2019,20009,14789,403,27732,5099,0
26/10/2020,11342,5503,239,11623,4938,37
06/12/2020,2094,3260,0,4717,0,15
14/08/2020,11722,6337,157,11965,4892,49
23/11/2022,14492,9646,266,16659,3916,176
13/08/2023,2448,4337,0,5949,0,23
29/10/2021,8319,4023,71,8072,2024,42
03/03/2021,16892,9733,320,18152,5769,85
18/01/2020,3186,5064,0,7001,0,0
20/10/2020,13325,6968,273,13565,5488,47
04/03/2023,4103,6483,0,9145,13,22
05/03/2020,18722,11596,445,25349,5945,76
10/09/2019,18814,11527,498,24134,5922,0
28/08/2023,15475,10479,371,18701,4730,70
02/11/2019,3898,6625,0,9358,0,3
19/10/2019,3857,6066,0,8963,0,0
30/09/2020,8962,5841,190,10557,0,30
11/04/2021,2086,3431,0,4734,0,22
07/12/2021,11101,7148,214,12939,3347,42
22/09/2019,4126,5234,0,7066,0,0
31/10/2020,2453,2544,0,4521,0,14
09/03/2022,13929,8144,209,15109,5254,63
27/06/2023,13366,9859,357,17289,2837,71
03/01/2022,1633,2026,0,3206,0,18
30/04/2022,2947,4949,0,6182,0,17
24/09/2023,2693,5301,0,7276,0,31
16/12/2023,4569,6135,0,8906,0,721
31/10/2022,12206,7602,223,13638,3631,39
17/12/2019,15744,10793,420,21636,1162,0
30/01/2020,14100,10587,362,21046,0,0
11/08/2022,13507,8622,196,15511,4108,71
19/09/2020,2534,4020,0,5720,0,19
12/11/2022,3516,5607,0,7747,0,22
30/10/2023,15786,9942,302,17728,5207,59
16/10/2021,1353,1671,0,2504,0,12
27/03/2020,3998,2298,106,5544,97,1
02/07/2020,8635,5435,137,10678,3290,3
23/05/2022,12914,8289,216,14440,4420,42
09/04/2022,3084,4630,0,6502,0,30
02/09/2019,18055,10993,417,23455,5830,0
14/07/2023,11554,9883,225,15609,0,67
21/08/2019,19447,12102,472,26048,5656,0
09/03/2021,16823,9430,340,17491,5870,93
01/11/2022,13821,8648,209,15268,4045,59
08/10/2019,13860,10799,417,22073,0,0
09/07/2019,13835,10550,455,19862,0,1
21/03/2023,17106,11542,373,20971,5703,72
07/10/2022,9081,7982,176,12660,0,52
13/02/2020,20387,11609,499,26610,6766,1
04/07/2021,1856,2895,0,4146,0,35
23/09/2019,18224,11833,469,24440,5626,0
21/02/2022,12663,6651,143,12389,5514,50
28/12/2020,2091,3086,0,4440,0,17
07/10/2021,2691,1217,20,2926,0,27
02/05/2022,13602,8231,262,15038,4737,65
08/11/2023,16467,11024,362,19855,4996,76
11/10/2022,14689,9787,245,17261,4652,78
06/05/2023,3845,6139,0,8120,0,20
15/10/2022,3635,5750,0,8070,0,11
19/06/2023,13656,9160,348,16289,4443,71
28/03/2023,16337,10720,385,20215,5432,69
10/02/2021,16511,9238,315,17184,6441,74
01/12/2019,2713,4356,0,6532,0,3
16/07/2019,14025,10434,421,20592,0,0
04/10/2021,730,660,0,1393,0,12
06/05/2021,16818,9674,315,17926,5465,90
20/03/2022,2006,3196,0,4803,0,7
24/11/2019,2913,4271,0,6681,0,4
19/04/2021,15767,8983,333,16782,3577,51
25/10/2020,1865,2403,0,3787,0,9
19/12/2023,12046,8393,290,15076,0,1422
06/07/2020,6629,5009,137,9443,0,3
25/02/2022,12510,6966,134,12570,5326,69
26/04/2022,14074,8797,238,15608,2913,63
14/10/2021,2589,1082,24,2718,0,23
30/05/2023,15801,10513,376,18686,4865,63
06/09/2023,16283,10969,407,20143,4696,81
14/11/2020,2876,4782,0,6061,0,18
10/02/2023,16131,11455,255,18920,5366,118
22/07/2022,12742,8300,162,14332,4422,65
23/11/2023,15893,10650,317,18928,4526,77
18/11/2020,13637,8032,266,14649,4795,63
02/01/2023,2239,2842,0,4541,0,16
15/10/2019,19198,12750,456,25968,6037,1
10/09/2022,3258,5942,0,7065,0,23
14/09/2019,5306,7540,0,8618,4,0
29/05/2020,7908,3986,89,8407,3767,1
17/11/2021,11074,6058,153,11305,4574,42
05/12/2023,17458,10810,375,20439,4385,76
10/11/2020,13657,7540,230,14231,4841,59
22/05/2023,15536,10275,386,18284,4902,61
30/04/2021,16507,9949,246,17759,5540,69
15/09/2021,2344,913,21,2280,0,21
23/06/2021,14881,9455,314,16610,4174,70
30/10/2020,13472,6242,186,13757,4943,53
16/01/2021,2705,2715,0,5439,0,29
25/06/2020,9583,5703,121,10705,4585,4
06/03/2023,16371,11064,366,19576,5550,101
10/11/2022,15156,9612,246,16799,4229,91
27/01/2023,10366,7877,154,13248,0,54
28/11/2023,16737,9879,346,19416,6162,69
26/02/2022,2856,5034,0,5933,0,17
27/07/2019,5383,6522,0,8231,0,1
23/04/2021,16420,9626,267,16969,5811,75
13/07/2022,9529,7873,226,12933,0,48
27/04/2022,14299,8797,252,15723,5160,92
26/10/2019,3731,6849,0,8449,0,102
17/05/2022,13979,9047,284,15836,4485,56
16/06/2022,12723,8434,238,14196,4010,42
29/05/2022,2049,3591,0,4969,0,16
21/06/2021,14587,8914,304,16243,4295,53
06/11/2023,15943,10252,336,18670,5186,61
23/03/2023,15751,10808,345,19207,5413,100
15/09/2022,13245,8425,173,15225,4270,56
27/10/2020,13366,6594,249,13389,5398,40
17/03/2023,16931,11798,294,19999,5299,105
11/01/2022,5879,3545,75,6608,0,27
24/02/2022,13206,7039,138,13205,5581,140
02/08/2022,14063,8847,241,15540,4633,72
17/08/2020,11744,5628,183,11068,5306,39
19/06/2022,1973,3308,0,5036,0,19
09/09/2019,17892,10847,458,22891,5813,0
07/03/2020,3971,6162,0,9552,0,0
03/01/2023,8061,5998,100,10227,0,45
23/04/2023,2498,6572,0,6513,0,14
27/02/2021,3369,5149,0,6554,0,24
28/02/2021,2148,3430,0,4932,0,24
20/10/2021,5259,2318,58,5027,0,41
20/12/2019,13149,10032,259,18341,44,0
16/09/2020,12778,6549,195,12682,5075,49
20/09/2023,16498,11686,368,20735,4701,69
17/10/2023,17365,11255,378,20596,5139,105
06/12/2021,10902,6586,194,11920,3265,45
21/02/2021,2100,3216,0,4417,0,18
03/05/2022,14452,8861,271,16091,4884,64
15/10/2020,13560,7021,227,13692,5380,66
01/08/2021,1862,2799,0,4160,0,18
05/02/2022,2730,3889,0,5175,0,26
22/08/2021,489,409,0,862,0,5
19/07/2020,1507,2477,0,3673,0,10
01/10/2020,9632,6301,197,11869,0,45
25/03/2023,3687,5699,0,7796,0,11
26/06/2021,3170,4718,0,6242,0,17
29/01/2023,2226,3553,0,5147,0,21
29/07/2021,15846,9420,270,16980,5534,91
21/08/2021,722,503,0,1079,0,6
11/09/2023,15265,10162,346,18713,4823,74
18/04/2022,1839,3064,0,4454,0,22
28/11/2022,12610,9002,225,15471,2669,53
05/09/2021,458,456,0,943,0,7
30/06/2023,12504,9633,273,16163,2096,52
25/05/2020,6901,3495,101,7501,3708,1
16/04/2023,2234,3731,0,5454,0,18
22/03/2022,14014,8326,254,15939,4914,101
07/01/2023,3298,7452,0,6637,0,45
06/10/2020,8397,5496,187,10183,0,31
25/04/2021,1983,3378,0,4258,0,14
25/03/2020,4365,2790,164,6563,144,0
15/02/2022,12650,6590,157,12662,5542,63
20/05/2020,6085,2890,85,6510,2470,1
20/04/2021,16659,9901,294,18151,6238,100
19/08/2021,1959,768,21,1920,14,13
26/12/2022,1996,3517,0,5276,0,10
17/08/2021,2066,949,20,2139,29,14
27/11/2020,13588,9101,183,15110,4155,38
20/08/2023,2738,4605,0,6663,0,54
20/08/2021,2015,741,9,1907,11,13
07/08/2022,2049,3796,0,5285,0,34
14/04/2021,11809,8649,308,15495,0,46
02/05/2021,2081,3242,0,4977,0,34
25/08/2019,3955,4411,0,6228,0,2
27/09/2022,10341,8520,227,14447,0,60
08/06/2022,13434,8663,254,14764,4138,38
24/01/2020,13403,10476,343,19749,0,0
31/05/2023,15635,10279,405,18394,4684,69
12/12/2019,17004,11653,445,22538,3083,0
08/06/2023,14391,9346,296,16643,4691,73
25/04/2023,2420,4047,0,5898,0,14
05/11/2023,2559,4430,0,6221,0,20
04/01/2021,7269,5337,150,9105,0,38
12/02/2022,2922,5166,0,6031,0,23
25/09/2019,18838,12958,453,25717,5360,0
04/01/2022,5744,3581,54,6655,0,36
03/08/2022,13162,8636,235,14960,4443,67
17/01/2022,6047,3723,82,7129,0,32
07/10/2019,2870,5069,0,6956,0,2
08/10/2020,8654,5669,212,10697,0,35
19/10/2020,12986,6459,209,12772,5319,40
31/08/2020,11736,5810,177,11520,5156,46
24/08/2019,5439,6396,0,8283,0,
26/03/2023,2624,4212,0,6383,0,18
27/03/2023,15510,10639,346,18806,5409,71
14/05/2023,2212,4302,0,6208,0,18
28/05/2023,2215,4789,0,5996,0,16
09/06/2022,13407,8337,226,14799,4397,48
23/05/2023,15907,10702,395,19183,4756,62
10/11/2023,16397,11100,1029,19102,4550,81
24/04/2022,2094,5283,0,5204,0,18
16/04/2020,3024,1577,57,3682,0,3
23/04/2022,2932,4614,0,6026,0,21
11/11/2019,17964,11548,468,24134,5602,3
06/10/2021,2821,1217,22,2837,0,36
18/12/2023,12686,8395,309,15747,0,1476
20/05/2021,16343,9710,310,17375,4823,94
20/12/2020,2041,3529,0,4583,0,17
14/06/2022,12488,8421,233,14413,3038,43
01/03/2022,12288,7427,192,13710,2193,43
26/11/2023,3524,4847,0,8286,0,24
09/12/2022,13394,10098,188,15472,1654,64
